entrez,GSM304508,GSM304509,GSM304510,GSM304511,GSM304512,GSM304513,GSM304514,GSM304515,GSM304516,GSM304517,GSM304518,GSM304519
MAP4K5,-0.10787523,0.026254917,-0.26857152,-0.096050517,-0.067319167,0.088820565,-0.34104808,0.038519027,-0.316804716,-0.054123645,-0.413823155,0.111368938
PRRX1,-0.595645331,0.775764313,-0.650449417,0.300234773,-0.569041087,0.530620811,-0.321586577,0.424288774,-0.535044897,0.306088317,-0.259528293,0.546548699
CDK9,0.053649983,0.149787664,0.013950056,0.272987271,0.04546993,0.323646854,-0.215105906,0.051731824,-0.193534634,-0.156270411,0.031082174,-0.141523258
MAX,0.209408138,0.195559876,-0.252879978,-0.200191537,-0.125141063,0.594633805,0.076501051,0.134720598,-0.524473834,-0.408334563,-0.123043834,-0.003866648
ADAMTS3,-0.252023417,0.610676206,-0.335381175,0.445170294,-0.358860002,0.852119162,-0.502836266,0.225049318,-0.387813585,0.255084196,-0.238541989,-0.020803897
ZNF189,-0.388189947,0.171320223,0.028377852,0.20435727,-0.058103098,-0.159284014,-0.244616971,-0.013435545,-0.266024318,-0.172879856,-0.044421912,-0.116267937
ZNF658,-0.238003513,0.3943625,0.02330468,0.419269469,-0.084492846,0.299895838,-0.19364681,-0.054161515,-0.146891578,0.11796795,-0.030061501,0.067163212
RFXDC2,0.001710826,-0.034142322,-0.134699893,-0.02158388,-0.080971276,0.145203033,-0.346860851,-0.181682773,-0.380311052,-0.084423075,-0.120964343,0.006839237
HPS1,-0.047805455,0.246516719,-0.034278036,-0.14410912,-0.021953351,-0.251945059,-0.206762962,-0.180995779,-0.023273819,-0.049703187,-0.249826016,0.02966723
MOGAT2,-0.058634804,0.286665066,-0.120103111,0.248198592,0.243143045,0.346598006,-0.147395488,-0.335760255,-0.11576996,0.057705669,0.035400053,-0.091598391
KRT1,0.024265145,-0.071505255,0.102155509,-0.109526688,0.145222097,-0.259157865,0.05074,-0.134355205,-0.041536331,-0.100865702,0.041201455,-0.058085902
HIST1H3E,-0.034371424,-0.049576597,-0.265958683,-0.104333028,0.032621065,0.044327479,-0.131489886,-0.1732875,0.066172792,0.153699113,0.031548155,-0.103711616
DDX27,0.121590179,-0.131513266,0.094245019,0.003625923,0.241471167,-0.185055402,0.117529745,-0.062894574,-0.090220892,-0.269140248,-0.001133743,-0.156999388
MPZL1,-0.32659379,-0.114169923,-0.30908922,0.06349738,-0.254017338,0.053780218,0.019582776,0.354177752,-0.119637749,0.197347169,-0.381991804,0.176514725
OR6T1,0.105341921,-0.016901178,0.058547742,-0.072207797,0.163727044,-0.025228112,0.072678245,-0.115770483,-0.006190965,-0.166401446,0.209686442,-0.063162476
AHSA1,0.059020219,-0.022275578,-0.082128401,0.096831014,0.023080088,0.138675269,0.047280772,0.059163945,-0.31383874,-0.302752706,-0.170086491,0.000650589
RKHD2,0.163277727,0.189371566,-0.067523584,-0.272990783,0.126746032,-0.317381399,-0.019134468,-0.107731754,-0.536633412,-0.514220623,-0.206896467,-0.177389677
HEYL,-0.049288806,0.025366173,-0.040650622,0.036240769,-0.201270158,-0.033985465,-0.190866068,-0.094112201,0.011036585,-0.12949857,0.909757315,0.117777405
PTPRO,0.043016916,0.07689926,0.115036719,-0.078156633,0.055622314,-0.214831922,0.022345448,-0.081185654,-0.015042028,-0.096957559,0.164559311,-0.006567075
PLD5,0.000798875,0.427792852,-0.252829406,0.326080619,0.153456442,0.62596955,-0.214766712,-0.138954533,-0.169279284,0.196975725,0.054204052,0.189209894
EIF4E3,-0.104721709,0.313106296,-0.081005038,-0.0468988,0.021372476,0.033656621,-0.127563131,0.37248885,-0.105544506,-0.022277316,0.085934324,0.044653368
THOC3,0.046780646,-0.078468463,-0.026328608,-0.045135409,0.135120112,-0.021397953,0.026337291,-0.021489465,-0.291027417,-0.363975184,0.091479973,-0.126256779
ZNF702,-0.356356858,0.548291974,-0.072543003,0.31016108,-0.25261167,0.553668405,-0.422841607,0.366233714,-0.468383408,-0.022628819,-0.316951025,0.328278657
NSUN2,0.036126616,-0.044946521,-0.000206391,-0.002669971,0.0570412,-0.060738506,0.094991295,0.073067068,-0.292714434,-0.324475958,0.120660331,-0.078868626
C9orf7,0.335302852,-0.229226064,-0.2408501,0.008447292,0.35949442,0.109533437,-0.075019047,0.155740092,-0.219934249,-0.280005141,0.101817995,-0.202416915
FAM104B,-0.073155138,-0.011827315,-0.139000485,0.010949856,-0.05560823,0.006927112,-0.180418353,0.160542876,0.057451676,0.265820074,-0.026481845,0.031698261
GNL2,0.080910255,-0.009785153,-0.083673193,0.060076867,-0.005862961,-0.008077737,-0.011387688,0.027734451,-0.260355191,-0.114397425,-0.198947953,-0.030850786
CTSB,-0.166106075,0.07626219,0.079932647,0.642010526,-0.127754292,0.25561366,0.003831914,0.298678049,-0.474167721,-0.031904537,-0.081347288,0.193385294
DLAT,-0.092565968,-0.007605294,-0.206904867,-0.103747363,-0.067984792,0.029634611,-0.180332703,0.104071992,-0.224179205,0.116838498,-0.250473162,0.092613983
RHOT2,0.098716775,-0.1943947,-0.229948035,-0.107316809,0.262776784,0.104446924,0.013460108,-0.00545782,-0.373154016,-0.35622347,-0.150162067,-0.091809203
MAFG,0.087662388,-0.335729044,-0.072253255,0.021035895,0.012601067,-0.192190205,-0.208687308,-0.195506087,-0.62976643,-0.452294053,-0.398221078,-0.377223589
MAGEA3,0.140628787,-0.170458551,-0.06123803,0.023670007,0.180969444,-0.036718223,-0.02975411,-0.174467928,-0.098936799,-0.158230794,-0.008813639,-0.178391739
FAM123B,0.040864109,-0.118618826,-0.900994361,-1.023271256,0.029835251,-0.016638957,-0.12412813,-0.06376295,-0.271395891,0.043839864,-0.185287993,0.01025908
HLA-B,0.158997671,-0.289143339,-0.107483279,-0.227313816,0.236622298,0.037965983,0.342492043,0.176515154,-0.224160482,-0.358461512,0.256597129,-0.076644773
UTY,0.195982564,-0.112104601,0.00935235,0.088101639,0.072374685,0.198261181,-0.169947768,-0.371848026,-0.186581957,-0.169401108,-0.034911042,-0.08831661
UBE2U,0.312717925,-0.000560722,-0.084054374,0.121744016,0.208368807,0.133693042,-0.204043107,-0.244174134,-0.531419236,-0.069485884,0.060137582,-0.144026681
DPCR1,0.214632499,0.074506203,-0.065788817,0.04323575,0.180131168,0.130556803,-0.154915294,-0.31935348,-0.126164517,-0.116396664,-0.031353831,-0.178273186
LMO2,0.438360338,-0.261672967,0.142771276,0.294130514,0.409897618,0.983149947,-0.142680162,-0.35577749,-0.237149323,-0.275206246,-0.169084024,-0.359075597
CDC40,0.357663813,-0.357915923,-0.058674584,-0.188470095,0.265572148,-0.007391481,-0.08694875,-0.295449203,-0.079695351,-0.287075247,-0.154490061,-0.226513613
SRGAP2,0.04336433,-0.29097591,0.00452074,-0.070279004,0.058438202,-0.18757702,0.056481462,-0.105055344,-0.298051017,-0.159138109,-0.358195348,-0.254992219
FZD10,0.029204625,-0.493380492,-0.240069692,-0.624369573,0.377592195,-0.008573676,0.29091135,-0.175026708,0.214152843,0.046138456,0.105150718,-0.141480682
APOBEC3A,0.380984303,-0.202817505,0.01877044,-0.176939468,0.267309741,0.008273233,0.081296455,-0.172003329,-0.029757349,-0.161843045,0.105946131,-0.185642296
E2F3,0.192967034,-0.073066785,0.13447276,-0.021991676,0.300407785,-0.082429492,0.120340101,-0.040772842,-0.45047904,-0.359531397,-0.233263252,-0.274861026
PFKP,0.190673731,-0.184076154,-0.025399058,-0.236768205,0.220669361,-0.084509814,0.31869506,0.137653778,-0.0026769,-0.171244059,0.318858786,0.00535061
MGC21644,0.39652402,-0.215593899,0.006311188,-0.245939689,0.345744584,-0.078433185,0.110071207,-0.341425337,0.004953372,-0.155468632,0.1893932,-0.311349617
QRSL1,0.206049271,-0.307598842,0.113654598,0.009408652,0.11810604,-0.144850886,-0.158225396,-0.343076844,0.084413838,-0.017312354,-0.07893875,-0.43119733
IDH3G,0.377077045,-0.317234295,-0.08937378,-0.229594281,0.182776081,-0.078444452,0.079187604,-0.225785099,0.022391617,-0.150530645,0.001273883,-0.211628182
P53AIP1,0.327128713,-0.144149244,0.145631089,-0.082825138,0.618458786,-0.137327468,0.031618979,-0.23795616,0.04747615,-0.199243821,0.063087357,-0.134281793
DOK5,0.269733705,-0.050568065,0.243823603,-0.111861582,0.31490025,-0.11925757,0.120247855,-0.337785908,0.061708744,-0.201283918,0.156542764,-0.210913543
BARD1,0.14870873,-0.338305004,-0.222556145,-0.260463682,0.132138425,-0.114398609,-0.046431889,-0.234358776,-0.063916962,-0.215581483,-0.033227795,-0.260775902
CA9,0.499514586,0.830794821,-0.720238021,-0.949582182,0.851887393,0.702863081,0.303721115,-0.319485289,0.066380272,-0.659670304,0.437275288,0.146531278
WRN,0.158792286,-0.116346656,0.067553955,0.222855583,0.11261854,0.033529241,-0.040553125,-0.119009948,-0.280774208,-0.136384282,-0.137812098,-0.167212475
DNER,0.229246101,-0.075924123,-0.283759106,-0.396237695,0.219740891,0.104315746,0.169807723,-0.028258978,-0.081940992,-0.173641414,0.033891133,0.042233348
RHPN2,0.266002047,-0.045718657,-0.106369658,0.073967812,0.268927328,0.118444934,0.014317173,-0.365957292,-0.054969097,-0.303217418,-0.06717698,-0.256327212
CEL,0.454556855,-0.282794669,0.065963303,-0.193018636,0.438725715,-0.137377594,0.209416486,-0.396921992,-0.015681122,-0.33312286,0.168087575,-0.235978373
SCD5,0.255777721,-0.301770834,-0.328999569,-0.598088172,0.346228889,-0.109718804,0.342563241,-0.125874515,-0.187496009,-0.252999997,-0.001863268,-0.08017362
GRM4,0.504959847,-0.218526012,-0.108826158,-0.00759254,0.415002704,-0.004674652,0.078498484,-0.519109702,-0.069450232,-0.448052612,0.042188329,-0.335942816
EFHB,0.439549466,0.0679929,0.095847098,0.067810466,0.469509727,-0.137963653,0.147969362,-0.242222652,-0.01989989,-0.191897897,0.120227025,-0.076366515
SRP9,0.339113416,-0.134746219,0.322209205,0.292067212,0.246628796,0.042244098,-0.109939194,-0.32503784,-0.191023645,-0.061414031,-0.4496594,-0.314890183
ETV1,0.362702227,0.259997985,-0.345050155,0.070388511,0.359901801,0.300802128,-0.158954316,-0.43306672,-0.027323269,-0.027554439,-0.06412431,-0.298975626
GBP1,0.046066248,0.239543435,-0.50159981,0.286190861,0.158430664,0.210284934,-0.210400234,-0.343841242,-0.232711198,-0.001345982,-0.218100601,0.086563467
ACY1,0.316901896,-0.224192772,0.020079708,-0.232244094,0.284029814,-0.173193318,0.096515902,-0.243510397,-0.023484479,-0.184768429,-0.050831521,-0.114976372
FBLN1,0.395800381,-0.197579857,-0.041160865,-0.378253878,0.358220691,-0.11690281,0.389018978,-0.081996994,-0.050830715,-0.298065964,-0.049503845,0.001499147
AK5,0.087429876,0.248553244,-0.247835992,-0.000626209,0.05940298,0.072843312,-0.056750666,-0.135756647,-0.219293146,-0.085429651,-0.138607339,0.007743155
C3orf38,0.221704877,-0.078418325,0.022906846,-0.044026373,0.256290314,-0.152790263,-0.034134429,-0.37731404,-0.380676262,-0.415555056,-0.081230666,-0.222794205
CD1B,0.234541848,-0.024543406,0.048631178,-0.026887665,0.246557305,-0.087472018,-0.040843649,-0.233862756,-0.134077796,-0.155213803,0.281704286,-0.047364119
MYCN,0.077651387,-0.530747276,-0.100463823,-0.699061982,0.133450263,-1.402502948,-0.973009186,-1.056311586,-1.031698368,-0.880262382,0.020677111,-0.572924211
NALP10,0.205260666,0.250252872,-0.345890048,0.453393207,0.268840848,0.649522848,-0.002872337,-0.334209066,-0.025925553,0.11778576,-0.018159265,-0.034378615
OR51I2,0.232939167,0.164036959,0.096464746,-0.133612702,-0.35291297,-0.141334261,0.128382349,-0.07350116,-0.073704457,-0.048050415,0.183325109,0.006308572
FLJ20551,0.107303594,-0.002826364,-0.035271245,0.076620845,0.085291965,0.011087377,-0.120072698,-0.116992287,-0.219864158,-0.095771999,-0.046459169,-0.189071967
PLEKHF2,-6.59127e-05,0.048693701,-0.311338257,-0.139549757,-0.068565218,-0.196474665,-0.618808309,-0.212109314,-0.879667601,-0.344292863,-0.590598194,-0.259517282
