"AHSA1"
"ITIH4"
"RALGDS"
"COPS7B"
"C12orf62"
"UGCGL1"
"BRMS1L"
"MGC4268"
"ENTPD8"
"SSH2"
"RHOF"
"SMN2"
"ZNF96"
"TGM4"
"PLEKHQ1"
"TNP2"
"ARHGAP11A"
"C10orf82"
"RND2"
"DYNC1LI1"
"MRPL46"
"HLA-B"
"MXD1"
"KMO"
"CACNA1E"
"AMY1C"
"DDX59"
"DTWD1"
"LOC51190"
"GABRR1"
"GPR135"
"C21orf70"
"EGR3"
"OR4C46"
"MRPL21"
"RANGAP1"
"GRIN2D"
"MFHAS1"
"MGC16075"
"C1orf131"
"MYST1"
"RABEP2"
"ET"
"ARHGEF7"
"RUNX2"
"TMEM9"
"DAXX"
"ULBP2"
"OLIG2"
"C6orf108"
"BAIAP2"
"ASAH1"
"BPY2B"
"IPPK"
"WDR7"
"NEK10"
"NAP1L2"
"ZNF706"
"ZNF195"
"TESK1"
"FAM86A"
"IL19"
"CCNL1"
"SYAP1"
"CABLES1"
"C8orf39"
"RIMS3"
"FAM80A"
"RHAG"
"FAM53C"
"FLJ20758"
"MAGI2"
"TATDN1"
"STK17B"
"PDE8A"
"MARCH8"
"CD300LB"
"NMI"
"NANP"
"METTL3"
"SNX6"
"UBE2Q2"
"ATF7IP2"
"C1orf64"
"ZFYVE21"
"GALR3"
"POU5F1"
"PSORS1C1"
"ACVR1"
"MYH6"
"GNAL"
"MADCAM1"
"AK3"
"DDX58"
"ID4"
"NOVA2"
"GSTA4"
"NKAP"
"RNF133"
"SCN4A"
"AHI1"
"RBBP9"
"GNL2"
"ISG20"
"MCM4"
"LHPP"
"ZNF598"
"C10orf78"
"MALT1"
"CRSP7"
"C14orf101"
"OR52E6"
"NT5C2"
"HIST1H2BI"
"RAB22A"
"NDUFB10"
"KIF5B"
"CDK7"
"NLN"
"SP2"
"PRPF38B"
"DHRS1"
"RASAL2"
"LOC646257"
"AHNAK"
"PDE6D"
"IL5"
"PAX7"
"EPB41L4B"
"MARCH6"
"ITGAV"
"SLC38A2"
"C9orf38"
"C11orf46"
"FAM98C"
"COX17"
"HCN3"
"CMIP"
"KIF20A"
"HAX1"
"SMC2"
"MLXIPL"
"C12orf35"
"COQ2"
"FLJ11171"
"CRI2"
"TPTE"
"IFIT1"
"EDA2R"
"PPEF1"
"INSM2"
"ARS2"
"CAPN2"
"TOP3B"
"TMED10"
"ST7L"
"TERF2IP"
"ZFYVE16"
"GCET2"
"SPRR1A"
"ACBD6"
"GM2A"
"CBLB"
"ANK1"
"PHKB"
"ANAPC10"
"ZFP30"
"HUWE1"
"BDNF"
"NEUROG3"
"HLX1"
"OR2H1"
"BNIP3L"
"PFDN4"
"GHSR"
"C18orf22"
"EVX1"
"C22orf23"
"PPP2R5E"
"SMC6"
"LMO2"
"RIC3"
"OR4K17"
"HGS"
"KRTAP1-3"
"MIA"
"RND3"
"MAGEA12"
"C11orf11"
"OR1Q1"
"NRAS"
"ZBTB43"
"STAG1"
"DPP4"
"CARD6"
"MMP17"
"MRPS26"
"IFRD2"
"TRSPAP1"
"NASP"
"EML4"
"OGFOD1"
"G0S2"
"PUM1"
"AGGF1"
"FAM51A1"
"ZNF224"
"MRPL23"
"MDM4"
"P4HB"
"DACH1"
"EIF3S8"
"PLXNA2"
"RBX1"
"FNBP4"
"ASMT"
"UNG2"
"SH3BP1"
"GUCY1B2"
"ACAT2"
"CLDN8"
"SEPN1"
"C14orf8"
"C12orf41"
"ZNF581"
"FBS1"
"SIGLEC5"
"ARL3"
"FOXD4L1"
"ZNF268"
"MORN3"
"XPA"
"GIMAP7"
"YEATS4"
"HIST1H2BJ"
"ATP6V1G3"
"C9orf32"
"PARP11"
"HIST1H1E"
"DLX2"
"LRRC8C"
"SFRS10"
"ZFP95"
"LRRC51"
"NGEF"
"ZNF622"
"RQCD1"
"ATP10A"
"MOCS2"
"DUSP26"
"PPM1H"
"POMT1"
"INPPL1"
"PXMP3"
"AK3L2"
"C1orf90"
"ZNF193"
"DDAH1"
"ACOT7"
"C20orf172"
"C22orf29"
"ACSM2"
"HIST1H2BB"
"GOLGA2"
"MMP9"
"GDDR"
"ZZZ3"
"AQP1"
"PDXK"
"KRTAP4-12"
"PCBP1"
"TMEM161A"
"TBC1D16"
"PLD2"
"SMOX"
"RIPK1"
"C21orf56"
"TMEM8"
"MTHFD1L"
"TTK"
"WFDC13"
"OR4F15"
"OPA3"
"SPTBN4"
"SNAPC1"
"PC"
"SGEF"
"C12orf54"
"ECHS1"
"KEAP1"
"KLK7"
"PBK"
"BASP1"
"EPHA8"
"PINK1"
"ZNF83"
"EGLN2"
"ATP6V1H"
"RC74"
"C1orf63"
"TCP1"
"GTF3C1"
"DZIP1"
"ERGIC3"
"KIF27"
"NKIRAS1"
"NAGLU"
"RAB3B"
"PIK3R5"
"USP10"
"SH3TC2"
"GPR37L1"
"MT1F"
"ATRN"
"MAGI1"
"LOX"
"RBM15B"
"SF1"
"MZF1"
"UCN"
"DYRK1B"
"WIBG"
"EEFSEC"
"KLF11"
"MAP4K4"
"MCM3"
"TTC4"
"FLJ90396"
"CXorf36"
"RPS6KA1"
"PH-4"
"SOX3"
"CDK5RAP3"
"TSSK1"
"ARFGAP1"
"PTHR2"
"KLHDC2"
"GAPDHS"
"THAP2"
"STIP1"
