"entrez","fold_increase"
4811,138.755043968221
5339,78.6486987306035
2289,71.7122635431336
727820,47.5985437165193
102725188,47.5985437165193
2309,36.817953933943
2310,36.817953933943
396,35.7700683625653
727820,34.973351211801
10097,34.6868537772984
55127,32.9099238973007
4967,31.2909772707241
999,30.5706309757704
79027,28.6359648216563
1974,28.0392501812026
6043,28.0392501812026
619567,28.0392501812026
619568,28.0392501812026
677847,28.0392501812026
100302143,28.0392501812026
79026,24.6558431950091
85439,24.1797769821943
255743,23.4130870376559
5337,23.3133425064805
100652770,23.3111102270092
91978,22.5848228774139
54832,22.5781386071112
283131,22.3373775929201
693197,22.3373775929201
6429,22.2007038983462
64167,22.1876500290951
8847,21.8211266883351
3851,21.321907749363
143686,20.7609181762142
55599,20.7311207364054
166785,20.6160609282021
100129387,20.4779185791995
9547,19.9970504634046
79670,19.8382115863496
3955,19.8297972688655
1663,19.7626726239896
23613,19.730777797916
4170,19.6723350569804
23085,19.560039879917
7136,19.21614725516
284759,19.2059264776303
100131998,19.0762664031217
101060405,19.0762664031217
7323,19.0668623722472
286514,18.9621915034317
