Names	total	elements
GSE12059 GSE12764 GSE50911	2	25959
		1674
GSE115406 GSE12059 GSE12764	4	775
		427
		29797
		112398
GSE115406 GSE12059 GSE50911	2	9200
		5788
GSE115406 GSE12764 GSE50911	7	1601
		8001
		5618
		2898
		64231
		64067
		3688
GSE12059 GSE12764	28	84305
		160419
		55472
		83591
		10016
		51085
		25791
		152002
		11013
		777
		8370
		6005
		26716
		4858
		4745
		26261
		254187
		55349
		2693
		23586
		10750
		8970
		51540
		5156
		3434
		2906
		55344
		27296
GSE12059 GSE50911	56	6535
		117854
		9440
		168433
		64600
		57190
		5650
		6322
		54861
		9765
		5460
		55166
		64319
		4015
		8566
		23563
		91768
		26009
		54873
		11093
		22949
		60343
		4238
		6387
		356
		79026
		438
		81850
		89122
		51307
		54946
		4005
		55756
		80755
		113791
		79742
		54509
		196483
		1234
		9390
		5594
		64326
		9218
		56986
		10556
		8660
		23450
		8174
		219670
		7037
		57097
		6950
		135112
		170679
		9064
		55841
GSE115406 GSE12059	26	4319
		51206
		9753
		1901
		8190
		10418
		64180
		6658
		54566
		122664
		84674
		85363
		140688
		57611
		9462
		64582
		134492
		55806
		4524
		84631
		126969
		3744
		23335
		286
		800
		58499
GSE12764 GSE50911	26	65986
		50616
		6010
		440387
		389023
		56896
		2099
		5558
		3779
		79776
		597
		51101
		5800
		100130609
		8573
		55079
		81492
		54538
		2528
		1378
		54106
		2555
		79623
		220965
		441204
		7545
GSE115406 GSE12764	94	2915
		57338
		118932
		10740
		387923
		56099
		57221
		29958
		54434
		3963
		653499
		9914
		2911
		139420
		100506639
		101928269
		10580
		8651
		23186
		147323
		51666
		7222
		3937
		129293
		101926921
		7042
		28396
		213
		121601
		646074
		3507
		389161
		102723645
		6656
		3514
		93010
		27125
		8703
		196264
		2691
		29774
		6751
		7757
		4308
		101928457
		7429
		861
		27181
		3763
		56253
		170626
		5787
		9068
		80036
		4589
		101927826
		285965
		6492
		11163
		340273
		150527
		390963
		30012
		100130458
		100506403
		1768
		255057
		50937
		100507098
		203111
		10117
		65266
		57047
		404266
		2244
		64760
		339896
		10663
		93649
		2264
		9229
		150726
		340024
		118788
		3493
		285513
		255480
		81033
		389634
		26341
		1043
		7690
		4312
		646743
GSE115406 GSE50911	37	149628
		8711
		3552
		6123
		2250
		79645
		338799
		9096
		6992
		143425
		4791
		339976
		6337
		140880
		79785
		133558
		199990
		339122
		51289
		23092
		3172
		5340
		55107
		9576
		205147
		80854
		667
		1456
		100190938
		2324
		154386
		80108
		7099
		58484
		955
		164781
		84561
GSE12059	882	1801
		10309
		284348
		6497
		64376
		196441
		5499
		3588
		79618
		4893
		25953
		57403
		55181
		56971
		84939
		825
		51622
		353142
		57026
		26986
		84077
		29998
		55109
		1135
		10220
		10963
		8455
		25909
		51324
		8273
		400506
		55650
		284296
		245936
		79982
		39
		119749
		51397
		85865
		10075
		85364
		23746
		80218
		121273
		54934
		7142
		200916
		678
		57062
		84132
		8214
		5475
		11332
		8153
		79874
		5034
		4113
		6628
		84376
		84832
		54916
		4953
		29926
		5675
		9149
		8462
		9223
		10083
		860
		162998
		7507
		6909
		54816
		10458
		3750
		168537
		977
		5093
		55824
		7349
		57150
		55900
		55037
		147965
		360203
		54708
		27235
		341568
		4128
		5981
		7054
		65018
		57144
		2774
		57787
		54929
		10815
		278
		29890
		115727
		6926
		79628
		22990
		54960
		6434
		55454
		4342
		1421
		665
		23564
		9187
		90324
		6617
		55119
		132612
		26648
		9913
		6698
		11168
		55144
		7272
		81545
		5592
		84734
		206358
		2801
		50484
		163688
		84701
		2694
		79157
		5362
		29949
		26476
		9716
		120534
		54856
		3669
		11177
		89884
		10215
		5338
		5081
		91687
		119392
		57795
		118663
		57402
		200504
		3623
		9993
		158131
		6878
		93183
		128602
		81569
		84230
		55128
		55297
		7748
		3883
		84320
		25902
		79970
		5635
		80279
		94240
		10795
		845
		57115
		79608
		2569
		51430
		319
		64478
		10201
		220074
		54530
		79228
		29944
		821
		165324
		147872
		84987
		3050
		2253
		91445
		1727
		5333
		6620
		57194
		55006
		23299
		85285
		4521
		81611
		54751
		8874
		2021
		29044
		56886
		9258
		3799
		222166
		10243
		79862
		84645
		51652
		23287
		55075
		84253
		7434
		22829
		9254
		66004
		65056
		30850
		6869
		2523
		26994
		92521
		54516
		2161
		55717
		10059
		4624
		63934
		9748
		3008
		8578
		29766
		339834
		10112
		7536
		6430
		2303
		51301
		51527
		54820
		5313
		10308
		195827
		8564
		26589
		146849
		54681
		51434
		140801
		143684
		55582
		252839
		79571
		163126
		55148
		84684
		115024
		4085
		1473
		6880
		4172
		60401
		3843
		824
		128853
		50808
		83481
		57657
		79691
		442867
		285172
		9283
		399
		5427
		9975
		60386
		55196
		1457
		9236
		83479
		23517
		2764
		23344
		256536
		2744
		90441
		59345
		4669
		80207
		51086
		10585
		7596
		8639
		4735
		28512
		149563
		55783
		10846
		131408
		51575
		7016
		79075
		80264
		163049
		85395
		3772
		5886
		790
		11062
		10240
		4494
		84148
		115209
		28972
		9107
		3535
		80301
		26689
		1663
		90649
		79677
		26330
		9960
		79019
		10741
		51143
		1892
		84270
		246330
		127124
		11065
		90
		51190
		51728
		22873
		283385
		1490
		132160
		79576
		23660
		2954
		55872
		26084
		341277
		11190
		9317
		91754
		10325
		135948
		9493
		133746
		284996
		10137
		4991
		8346
		200576
		28989
		3385
		390649
		23546
		5078
		5321
		6195
		29789
		1960
		57192
		6888
		5995
		9698
		125058
		143379
		23300
		9839
		8502
		29086
		6640
		10598
		64708
		26019
		54512
		9158
		345757
		390436
		2768
		128061
		2327
		5203
		56929
		90379
		10255
		29855
		7844
		57721
		6338
		80790
		11012
		7179
		81
		7433
		79863
		51593
		5192
		84312
		51744
		9033
		9047
		27349
		140838
		87178
		51123
		200350
		2805
		7746
		83942
		57147
		27429
		23588
		23099
		57486
		5199
		6927
		1616
		23394
		79637
		64949
		79070
		79758
		55033
		5865
		3590
		4141
		23654
		50674
		83940
		10456
		197258
		5684
		222698
		51710
		30008
		7866
		23293
		79703
		27250
		220972
		23533
		9783
		51449
		219927
		80328
		84343
		10274
		79854
		130814
		9100
		8388
		390078
		10254
		160
		27258
		221785
		83607
		130560
		3732
		3925
		23616
		84918
		83931
		1022
		81578
		64770
		50486
		92806
		146057
		164237
		4619
		7965
		23034
		26873
		267002
		7593
		22
		10847
		5091
		57460
		51526
		6776
		3685
		253635
		8395
		4173
		51166
		4674
		5701
		54952
		9978
		56267
		1803
		166647
		11331
		92912
		30836
		56961
		3700
		81696
		8778
		84181
		8530
		55207
		28513
		9650
		9397
		10063
		55625
		25800
		79038
		8737
		2230
		79948
		9441
		6317
		57794
		94056
		4326
		9314
		5184
		2963
		22794
		53
		5905
		23369
		115294
		9098
		23576
		64651
		83755
		81566
		259
		54757
		4985
		5681
		51567
		5557
		219487
		57343
		11267
		7633
		5663
		55249
		55103
		10208
		285126
		9767
		353174
		4716
		25821
		51601
		22978
		10797
		4355
		8467
		64754
		10397
		10904
		128854
		646627
		2322
		79736
		90060
		152185
		4878
		10299
		27436
		79980
		1967
		9813
		85464
		4642
		4126
		576
		56344
		10732
		4014
		83543
		54884
		9833
		389376
		7368
		8663
		57661
		3142
		7293
		55604
		54936
		54514
		6607
		8484
		9863
		26280
		64747
		6558
		55704
		115416
		2060
		10613
		9672
		10591
		6329
		84800
		5395
		4084
		148266
		4111
		10153
		10424
		80232
		3625
		7480
		92797
		9270
		219537
		390
