Names	total	elements
GSE115406 GSE12059 GSE12764 GSE50911	6	79742
		5788
		7037
		54538
		25959
		51454
GSE12059 GSE12764 GSE50911	11	79776
		51710
		1674
		55867
		4982
		65986
		6535
		25879
		8208
		8986
		79026
GSE115406 GSE12059 GSE12764	27	775
		84867
		427
		29797
		2044
		3763
		4477
		4848
		4589
		112398
		255057
		80274
		2128
		160419
		3676
		29958
		55366
		7544
		51085
		117584
		23629
		143686
		7490
		4173
		63027
		23586
		4312
GSE115406 GSE12059 GSE50911	12	678
		10938
		9200
		6337
		9248
		137196
		54861
		2246
		144406
		4524
		84570
		399979
GSE115406 GSE12764 GSE50911	30	1638
		26228
		8001
		2775
		199990
		1977
		55107
		9576
		10117
		3688
		2822
		253039
		1601
		9096
		6992
		2119
		10580
		27328
		960
		10875
		1412
		5618
		2898
		64231
		25890
		64067
		2324
		55888
		6362
		6714
GSE12059 GSE12764	92	10220
		286499
		10075
		7634
		168537
		7054
		83591
		10016
		57118
		220108
		11168
		126393
		5442
		64478
		3687
		3117
		25791
		152002
		28965
		128853
		57082
		10788
		341880
		51144
		55301
		55117
		777
		119
		8370
		146057
		4619
		130589
		941
		26716
		6561
		152185
		7368
		64927
		114822
		6329
		4745
		55897
		254187
		55349
		1005
		8970
		51540
		5156
		3434
		51804
		2906
		90993
		84305
		10211
		64921
		9066
		11103
		55472
		80008
		11013
		8928
		56341
		6927
		26338
		57679
		417
		92806
		57460
		89866
		6005
		414328
		23708
		4858
		57728
		9813
		23731
		51659
		6476
		26261
		84449
		3018
		5498
		2693
		55010
		10750
		1264
		54675
		2016
		10746
		4162
		55344
		27296
GSE12059 GSE50911	203	11169
		26986
		117854
		9440
		55968
		6257
		54708
		57190
		278
		4342
		29066
		5650
		55507
		54856
		11177
		26270
		54908
		5081
		6322
		9765
		55297
		25902
		84667
		94240
		55781
		55534
		10243
		80765
		23287
		85411
		4015
		8566
		23563
		55783
		221656
		10826
		6557
		26355
		10425
		57130
		143379
		54873
		11093
		6387
		438
		84865
		81850
		51307
		54946
		4005
		9397
		6317
		55756
		2644
		10772
		10397
		54509
		7417
		196483
		1234
		389376
		54805
		26226
		5594
		10424
		3993
		64326
		5837
		64960
		9678
		23270
		11253
		56986
