Names	total	elements
GSE115406 GSE12059 GSE12764	1	112398
GSE12059 GSE12764	10	84305
		775
		83591
		6005
		26716
		25791
		427
		2693
		8970
		3434
GSE12059 GSE50911	19	438
		168433
		51307
		4005
		55756
		57190
		79742
		196483
		6322
		1234
		5460
		64319
		56986
		4015
		8174
		91768
		26009
		6950
		22949
GSE115406 GSE12059	6	122664
		9200
		23335
		286
		9462
		64582
GSE12764 GSE50911	11	65986
		2898
		64231
		2528
		6010
		440387
		1601
		1378
		3779
		597
		100130609
GSE115406 GSE12764	28	861
		27181
		170626
		118932
		10740
		9068
		57221
		4589
		285965
		6492
		101928269
		150527
		390963
		30012
		23186
		100506403
		57047
		7042
		64760
		646074
		389161
		29797
		9229
		27125
		285513
		29774
		7757
		646743
GSE115406 GSE50911	11	55107
		2250
		80854
		64067
		5788
		154386
		80108
		3688
		164781
		339122
		5618
GSE12059	464	10456
		1801
		10309
		7866
		4893
		57403
		79026
		56971
		51622
		220972
		23533
		9783
		219927
		80328
		26986
		84077
		55109
		10274
		9100
		390078
		10254
		83607
		10963
		8455
		25909
		51324
		23616
		84918
		400506
		245936
		1022
		81578
		39
		50486
		119749
		164237
		10075
		85364
		80218
		121273
		54934
		7142
		7965
		7593
		5475
		5091
		57460
		51526
		6776
		3685
		11332
		8153
		4173
		81850
		51166
		79874
		5034
		4674
		54952
		9978
		6628
		54916
		5675
		9149
		1803
		8462
		166647
		9223
		860
		11331
		92912
		30836
		7507
		81696
		3700
		8778
		55207
		9753
		10458
		10063
		3750
		168537
		8737
		79038
		5093
		55824
		7349
		2230
		55900
		9441
		55037
		55472
		147965
		27235
		8190
		94056
		4326
		7054
		65018
		57144
		2774
		54929
		10815
		278
		22794
		29890
		5905
		115294
		23576
		79628
		22990
		83755
		54960
		6434
		4985
		1421
		665
		23564
		90324
		6617
		55119
		9913
		6698
		7633
		55103
		4858
		7272
		84734
		206358
		353174
		4716
		51601
		22978
		2801
		50484
		5650
		79157
		5362
		29949
		10904
		54509
		26476
		120534
		4878
		10299
		27436
		3669
		79980
		1967
		85464
		4126
		10215
		5338
		5081
		119392
		57795
		200504
		158131
		8663
		57661
		84230
		9765
		3142
		55297
		7293
		55604
		7748
		3883
		54936
		84320
		25902
		5635
		80279
		6607
		54514
		10795
		8484
		9863
		845
		79608
		2569
		51430
		51085
		55704
		220074
		10591
		6329
		6658
		4084
		84987
		54566
		91445
		57194
		23299
		85285
		4111
		8874
		2021
		29044
		56886
		9258
		3799
		25959
		84674
		84645
		51652
		390
		23287
		9218
		22829
		7871
		358
		9254
		26206
		65056
		4338
		58533
		348158
		84221
		10592
		4017
		8089
		51545
		10059
		4624
		256356
		3008
		8578
		29766
		2046
		627
		10112
		7536
		7110
		116337
		353134
		9824
		5147
		8564
		26589
		10409
		54681
		2941
		51434
		140801
		55582
		140460
		252839
		9448
		80063
		163126
		55148
		84684
		57731
		5529
		8566
		6880
		29903
		4172
		60401
		7508
		4897
		824
		2974
		50808
		124599
		57657
		442867
		7355
		55239
		9283
		23450
		9817
		22835
		60386
		7767
		7392
		55196
		57191
		83479
		80020
		57326
		868
		7047
		672
		256536
		7644
		90441
		387851
		60678
		4669
		112464
		80207
		1746
		10585
		254910
		7596
		28512
		149563
		55783
		10936
		29083
		51575
		58986
		51606
		51001
		8940
		7016
		10892
		5151
		79075
		6692
		163049
		219670
		66002
		85395
		55769
		57018
		11062
		2760
		4494
		84148
		64184
		28972
		8623
		80301
		4318
		90649
		79677
		26330
		64768
		79019
		10741
		3018
		51143
		1892
		9111
		57097
		127124
		11065
		112483
		6150
		90
		51190
		4194
		377841
		3400
		3833
		22873
		283385
		79576
		23660
		2954
		55872
		5257
		26084
		10972
		91754
		90850
		23586
		3636
		56339
		493869
		54498
		4991
		8346
		28989
		747
		10677
		390649
		51614
		23546
		51540
		6195
		1602
		59285
		1960
		9073
		54386
		54851
		9698
		646257
		125058
		11086
		143379
		9839
		2128
		8502
		29086
		10598
		64708
		50511
		390436
		10499
		777
		1051
		9146
		128061
		5203
		4236
		5746
		2906
		9510
		84847
		10239
		10393
		7268
		169611
		340252
		80790
		9262
		7179
		51290
		80115
		170679
		79863
		284716
		5900
		51593
		5192
		84312
		29108
		11245
		64077
		6668
		115817
		140838
		51123
		152110
		54879
		200350
		54806
		54407
		2805
		7746
		83942
		23588
		3104
		23360
		2975
		23099
		57486
		1616
		79680
		5828
		79637
		64949
		64084
		29889
		403
		79070
		57035
		5865
		78986
		4678
		84981
		9125
		55738
		3106
		257144
		50674
		8433
		83940
		3567
GSE12764	450	127
		8563
		9666
		23566
		375567
		284369
		5455
		90557
		3595
		26338
		5577
		6553
		3972
		100505893
		571
		11213
		101927581
		132954
		641977
		101927095
		57379
		84826
		101929660
		113115
		4902
		54538
		253017
		4066
		57679
		57452
		162494
		3763
		84176
		162333
		57338
		1356
		102725315
		107
		55275
		8318
		100506013
		6300
		26586
		1144
		160419
		114792
		100506513
		116442
		11320
		10737
		64921
		121838
		114794
		401097
		83690
		51224
		100507431
		100288966
		50802
		9705
		1977
		80862
		346157
		30818
		1161
		6401
		1442
		100506844
		10656
		100291626
		29761
		84867
		101929341
		5069
		54626
		84900
		266697
		114898
		3211
		51384
		55711
		56896
		257194
		100128782
		10371
		7299
		124773
		27063
		401233
		6373
		2321
		9051
		29958
		10659
		100507605
		4056
		440416
		3451
		10016
		6247
		5157
		57118
		28823
		26664
		101927826
		9085
		170850
		653544
		50859
		11085
		652301
		3568
		147172
		6561
		3756
		91179
		5558
		8630
		51555
		157753
		130271
		27134
		22947
		57728
		399693
		100996481
		157739
		101930476
		100859921
		100506679
		7373
		441461
		240
		374860
		54106
		374887
		55610
		255082
		284424
		22941
		401124
		4058
		114757
		8745
		441056
		5478
		101928877
		100129792
		8832
		6506
		79727
		219931
		157777
		643332
		27074
		11274
		55345
		728591
		202299
		4900
		284
		390035
		283070
		8302
		186
		2688
		8706
		51284
		129080
		100507634
		2571
		123283
		27330
		7471
		101928273
		9506
		102724312
		401134
		57597
		645961
		253959
		2555
		113746
		114786
		102724587
		1769
		383
		100379661
		85477
		101927934
		167410
		83998
		5764
		101928460
		25812
		158880
		100130458
		54462
		116362
		285441
		93463
		64805
		6822
		102723449
		100288687
		23135
		54777
		3174
		147685
		79623
		114038
		727983
		100874068
		3265
		1588
		8516
		4917
		6777
		2070
		55867
		8499
		9478
		219736
		8665
		25770
		56256
		2706
		3537
		2160
		51666
		114335
		5269
		23281
		152002
		286059
		3276
		203111
		85460
		51281
		10117
		993
		653548
		167227
		6456
		1821
		22844
		5741
		5607
		9451
		84690
		51561
		55547
		1032
		84553
		3855
		414771
		54331
		93654
		163933
		26996
		5033
		203238
		2584
		309
		245973
		101926921
		28396
		54058
		342184
		168544
		6641
		57560
		2187
		401387
		213
		645524
		2244
		3159
		64753
		23321
		5449
		10859
		3909
		2115
		6512
		2035
		54661
		56956
		23430
		5024
		55502
		10060
		4499
		143501
		653545
		23609
		1690
		11001
		8840
		6932
		5244
		266812
		51101
		340107
		100505741
		54997
		2537
		55349
		100996843
		642426
		9920
		26583
		100862679
		11151
		26191
		64850
		6656
		153478
		29974
		84433
		1326
		29940
		101928278
		57482
		150726
		56521
		3514
		10395
		56311
		2880
		143686
		5360
		221981
		101929284
		113540
		6546
		6498
		2689
		193629
		497258
		285593
		100874309
		84504
		258010
		117289
		10750
		100507399
		55081
		6334
		9745
		100419743
		345611
		728613
		100507537
		26958
		23205
		118788
		23554
		93010
		4241
		10800
		3493
		3546
		100996549
		93034
		5375
		5800
		340206
		28831
		55329
		6095
		255480
		127540
		101926960
		653543
		158809
		26251
		81033
		252884
		100526794
		145873
		284252
		10136
		90668
		101927310
		57153
		2558
		246175
		755
		2786
		2977
		7545
		9526
		101927465
		1379
		142678
		283392
		253152
		23475
		127343
		29841
		3291
		55775
		2823
		146279
		3177
		26341
		23024
		285224
		22905
		9358
		91409
		100130449
		27324
		102546299
		6323
		219578
		814
		692247
		23239
		100288289
		56033
		1043
		100526761
		127602
		2928
		728695
		4016
		85360
		57628
		90102
		1444
		115004
		728410
		23129
		10320
		10098
		158798
		55466
		55344
		7903
		151242
		3043
		51806
		159296
		10911
		157503
		282775
		64757
		10003
GSE50911	459	23092
		80155
		729085
		1387
		122416
		4249
		9736
		9248
		23102
		54796
		23233
		6531
		23410
		10401
		388962
		1615
		9282
		9208
		5428
		5875
		56165
		127003
		79068
		51631
		80309
		10526
		117854
		2188
		5685
		162699
		3116
		9440
		27238
		6375
		84945
		390284
		347734
		79413
		11063
		27319
		7098
		6764
		4323
		55615
		57670
		84852
		23157
		1153
		50616
		260425
		8328
		63876
		116966
		130872
		51447
		79621
		9890
		154664
		23120
		63926
		57633
		117145
		5806
		220594
		91283
		55153
		2205
		392138
		4345
		11014
		8711
		9820
		127829
		342908
		50848
		3552
		80230
		22925
		10432
		6123
		64600
		27303
