Names	total	elements
GSE12059	50	51190
		377841
		84847
		8153
		79874
		83479
		7047
		64582
		6607
		860
		5900
		84312
		2569
		3700
		219927
		80328
		9753
		56986
		83607
		10591
		9824
		85395
		79157
		1960
		54509
		4084
		84987
		8564
		26589
		252839
		84148
		80301
		143379
		1616
		119749
		85464
		8874
		10215
		56886
		9258
		10598
		64708
		7142
		278
		51143
		777
		5905
		3106
		128061
		2906
GSE12764	52	23321
		9666
		6777
		23566
		375567
		8665
		80862
		90557
		1161
		113540
		1442
		2160
		2689
		91409
		284
		152002
		117289
		100507399
		814
		54626
		2688
		100507537
		114898
		91179
		3211
		93010
		84305
		8630
		4902
		257194
		57597
		399693
		340107
		93034
		1769
		5607
		100996843
		4016
		1444
		401233
		26251
		8318
		100526794
		26996
		145873
		5764
		57221
		203238
		55466
		285441
		282775
		6005
GSE50911	50	9537
		1432
		283726
		7099
		64600
		54965
		4234
		164781
		3908
		79600
		7132
		440387
		285097
		51307
		85409
		8082
		55888
		154197
		54882
		51631
		134145
		730091
		10526
		9921
		643905
		10990
		7442
		91768
		27238
		7157
		390284
		51371
		5460
		27319
		4323
		6950
		55756
		55729
		51319
		5618
		5806
		127428
		2205
		27035
		3150
		11014
		10622
		7494
		154386
		55811
GSE115406	50	221472
		100506403
		286077
		4112
		7052
		388692
		1979
		861
		79750
		158427
		4609
		28983
		100216546
		343990
		11098
		100506084
		29763
		23286
		101928269
		283537
		2103
		251
		55020
		101927396
		100507398
		1839
		1848
		29984
		257358
		5137
		100996246
		5396
		146771
		2330
		7180
		100506047
		80005
		101928710
		56112
		196475
		219285
		340481
		5583
		250
		84561
		51208
		647024
		58189
		51326
		8013
