Names	total	elements
GSE115406 GSE40349 GSE46806 GSE55942	8	2202
		55619
		771
		54898
		5144
		10123
		8829
		7855
GSE40349 GSE46806 GSE55942	34	4863
		100033416
		5696
		2824
		100033433
		23363
		3653
		57082
		282997
		23228
		201895
		10217
		101930404
		3481
		2123
		6638
		347746
		100033444
		728392
		50810
		100033802
		3669
		1730
		653
		5334
		723961
		53918
		100033820
		1116
		100033450
		91380
		6785
		4148
		10499
GSE115406 GSE40349 GSE46806	13	23093
		5270
		4329
		92482
		8706
		6672
		116496
		101927137
		10580
		7035
		23304
		200316
		1452
GSE115406 GSE40349 GSE55942	26	23066
		6711
		3430
		7222
		50508
		1437
		1551
		6002
		8418
		3688
		489
		8714
		100861540
		5552
		834
		9753
		6347
		196740
		64581
		55243
		5950
		26053
		25890
		800
		8840
		5396
GSE115406 GSE46806 GSE55942	37	4340
		10611
		3552
		51471
		55636
		56112
		114884
		51710
		861
		8549
		84168
		8935
		6492
		5371
		7849
		3778
		10634
		23328
		101928269
		54566
		23264
		7881
		960
		1013
		7421
		1956
		23348
		8718
		9086
		23275
		3077
		25959
		100506403
		10474
		27445
		23150
		5098
GSE40349 GSE46806	190	5810
		8850
		9126
		5873
		730101
		8321
		2710
		55900
		8848
		222161
		1486
		26031
		114327
		8661
		8847
		23432
		8642
		100129482
		4664
		54799
		5934
		10681
		3832
		22998
		9352
		55719
		23047
		7019
		1854
		835
		54982
		23682
		79968
		2273
		2115
		80205
		80757
		1809
		23421
		5423
		4288
		10426
		7181
		94239
		23015
		55667
		23469
		3652
		9656
		10006
		5723
		406948
		3706
		6594
		152006
		9747
		8726
		3696
		55215
		55816
		10198
		80204
		286527
		5290
		10724
		4781
		9306
		3710
		9962
		5985
		10157
		805
		64167
		5094
		6595
		9768
		348110
		26037
		9702
		7738
		2012
		219333
		8612
		6372
		11082
		55680
		54148
		58487
		4155
		24149
		374
		6683
		4891
		51427
		23389
		26227
		11118
		653188
		54806
		11042
		3092
		6616
		10402
		9077
		22841
		604
		7857
		5569
		23036
		55326
		79663
		9056
		81545
		5558
		10234
		79582
		79469
		3298
		7220
		3556
		808
		10791
		221037
		9258
		597
		54520
		5744
		65987
		57001
		11013
		6526
		4670
		6474
		7840
		26118
		7130
		79685
		10622
		1806
		63920
		55274
		23531
		831
		100505494
		80025
		596
		11039
		8760
		9743
		6674
		101928274
		54918
		23589
		25758
		55222
		23446
