entrez,GSM1348905,GSM1348906,GSM1348907,GSM1348908,GSM1348909,GSM1348910,GSM1348911,GSM1348912,GSM1348913,GSM1348914,GSM1348915,GSM1348916
780,788.7,782.2,810.3,717,638.9,437.6,423.8,457,551.8,541.7,598.2,462.1
100616237,788.7,782.2,810.3,717,638.9,437.6,423.8,457,551.8,541.7,598.2,462.1
5982,687.1,599.9,688.2,657,775.7,497,567,604.4,499.9,492.1,432.8,465.2
3310,8.2,7.1,9.5,9.9,10.2,10,1.3,5.7,2.3,6.6,3,10.8
7849,178.6,175.7,136.9,161.8,176.7,96.8,102.4,136.1,145.9,138.4,140.5,101.2
2978,5.3,2,15.7,6.7,9.5,6.4,4.2,6.4,2.9,1.2,7,1.8
7318,27.2,20.6,19.5,35.8,24.1,21.2,24,20.8,14.4,13.7,28,10.1
100847079,27.2,20.6,19.5,35.8,24.1,21.2,24,20.8,14.4,13.7,28,10.1
7067,122.9,99.4,89.8,110.8,140.9,75.8,63.2,92.3,97.9,78,89.4,70.7
11099,14.1,27.8,14.5,9,25.3,20.1,18.8,21.2,19.1,15.7,12.5,15.8
6352,4.4,1,1.4,5.3,2,0.8,0.4,0.2,3.9,0.9,0.3,0.2
1571,8.5,7.7,10.1,8,6.9,10.4,0.7,5.3,3.2,5.4,7.3,6.6
2049,11.5,2.9,11.8,2.6,3.2,2.6,2.9,2.5,3,2.6,2.8,1.8
2101,192.6,168.8,230.8,223.7,211.3,118.4,131.8,138.2,182.3,192.8,214,181.1
1548,22.7,9.2,15.9,18.9,17.6,11.5,6.1,23.8,24.8,23.3,9.9,3.9
2621,736,678.3,865.8,851.3,578.4,352.5,418,523.5,814.8,853.4,797.2,896.3
4323,37.9,50.7,50.9,38.6,36,37.4,23.3,42.4,35.7,31.4,31.2,44.8
8717,302.5,227.5,207.3,166.9,233.6,125.7,113.5,123.1,133.8,152.6,135.5,176.8
5337,21.2,23.2,16.8,15.6,24.6,15.9,26,17.8,31.1,25.5,29.8,20.7
2342,49.5,48.7,53.7,31,45.2,40.8,45.2,42.3,37.6,42.9,41.2,40.9
100529261,49.5,48.7,53.7,31,45.2,40.8,45.2,42.3,37.6,42.9,41.2,40.9
441263,81.1,133.1,56.5,114.5,93.1,53.3,67.8,57.5,79.8,87.9,57.2,77.7
572,121.7,129.5,118.1,108.8,155.1,103.9,96.7,101.9,102.1,92.8,105.9,84.6
10594,1067.4,1109.3,983.2,970.5,1116.4,796.5,761.1,721.5,679.4,726,760.7,668.2
826,783.4,738.3,716.2,671.5,932,667.2,570.3,608.1,501.8,506.4,487.6,490.1
11224,8359.5,7530.2,7741.2,7725.4,9007.4,6475.4,6788.1,7439.5,6885.6,6701.5,6591.7,6801.4
6158,12090.5,11822.9,11197.3,11168.8,12532.8,9274.1,9572.3,10349.3,9994.8,9779.9,9776.8,9550.8
102465483,12090.5,11822.9,11197.3,11168.8,12532.8,9274.1,9572.3,10349.3,9994.8,9779.9,9776.8,9550.8
1982,8989,8763.3,8454.4,8131.9,9261.8,6434.4,6847.6,7313.3,6885.4,6945.4,6969.4,6712.9
8664,5132.8,4804.7,4718.1,4678.7,5050.7,3637.2,3855.8,4485.8,4500.4,4359,4163.5,3985
11315,8113.2,8192.4,8171.8,7870.4,8131.7,5506,6117.7,7066.3,6261.8,6137.6,6290.2,6273.3
6727,5127.9,4978,4465.2,4269.1,4794.9,3085.2,3408,3715.4,3566.2,3573.4,3603.1,3624.4
2665,862.3,1019.1,1070.1,1155.8,1255.6,1016.3,1094.5,1085.9,932.9,883.6,932.7,876
2665,3351.5,3218.4,3468.8,3380.5,3774.3,2515.1,2818.6,3009.4,2823.2,2618.8,2717.7,2813.9
6135,9651.5,8857.5,8891.7,8613.5,9668.5,6862.4,7526.5,8175.7,7405.1,7449,7601.7,7534.5
377,810.2,895.7,874,880.6,724.9,459.9,551.9,649.1,636.7,620.6,727.6,678.9
6144,8777.5,8834.2,8273.7,8343.5,8959.3,7043.1,7385.4,8162.9,8012.5,7529.1,7050.9,7336.8
26771,8777.5,8834.2,8273.7,8343.5,8959.3,7043.1,7385.4,8162.9,8012.5,7529.1,7050.9,7336.8
619499,8777.5,8834.2,8273.7,8343.5,8959.3,7043.1,7385.4,8162.9,8012.5,7529.1,7050.9,7336.8
100131205,8777.5,8834.2,8273.7,8343.5,8959.3,7043.1,7385.4,8162.9,8012.5,7529.1,7050.9,7336.8
6152,11658.1,11766.6,11501.2,11903.9,12111.9,10593.8,10735.8,11997,11491.9,11534.4,10520.1,10540.3
3183,5717.3,5419.4,4767.8,5368.4,5954,3958.1,4437.4,4610.1,4207.7,3717.8,4384.6,4164.3
4735,3740.6,3284.4,3301.1,2980.4,3877.6,2439.9,2521.5,2141.1,2647.9,2418.5,2345.2,2371.8
3178,10795.8,10944.5,10698.3,10800,11436.5,9141.2,9090.9,9786.1,9567,8986.4,8852.9,8313.8
664709,10795.8,10944.5,10698.3,10800,11436.5,9141.2,9090.9,9786.1,9567,8986.4,8852.9,8313.8
6233,12640.2,12168.7,11910.4,11561,13063.1,9610,9994.7,11514.2,10439.7,10479,10492.7,10165.5
6207,13608.8,13145.9,13269.9,12571.1,14232.7,10088.5,11091.4,11772.5,10387,11141.4,11221.2,10915.6
85388,13608.8,13145.9,13269.9,12571.1,14232.7,10088.5,11091.4,11772.5,10387,11141.4,11221.2,10915.6
100508408,13608.8,13145.9,13269.9,12571.1,14232.7,10088.5,11091.4,11772.5,10387,11141.4,11221.2,10915.6
2197,8950.9,9057.2,9021.2,8574.5,9071.6,6933.2,7204.7,8283,8146.1,7885.1,7720.7,7550.6
23435,2564.2,2611.8,2650.2,2582.4,2925.8,1930.5,2310.5,2444.6,2027,1923.3,2036.2,1886
1072,6182.3,6118.3,5837.7,5756.5,6580,3976.6,4577.4,5067.9,5688.1,4396.9,5450.8,6009.6
6141,9448.8,9720.7,8959.4,9575.9,9578.7,8032.8,8136.3,8660.5,8418.5,8224.7,7729,8031
8665,6212.6,5978,5637.8,5378.6,6598.9,4077.4,4563.5,5222.8,4725.4,4690.1,4544.7,4423.4
6193,8382.1,7990.5,8017.6,8058,8839.4,6329.7,6620.5,7315.9,7290.2,7101.5,6925.7,7120
6155,12311.4,11280.7,11784.4,11525.2,12244.5,8747.3,9444.2,10373.7,9868.2,9420.9,10366.9,9823.3
6164,8156.7,7821.2,7782.6,7717.4,8211.9,6283.4,6607.8,7232.1,7285.9,6637.3,6533,6864.9
4677,5788.9,5594.5,5745.2,5663.1,5586.8,3670.7,4032.9,4511.9,4734,4630.8,4745.9,4620.6
56910,3048.6,2963.4,3195.5,3231,3220.7,1641.6,2082.1,2456.6,1964.7,2000.6,2129.5,2047.7
6143,10046.9,9217.9,9720.8,9372,10023.2,7748.1,8094.4,8713,8707.2,8246.1,8521.3,8097.9
5250,7718.6,7614.9,7467,7515.1,8518.9,6518.3,6591.6,7265.1,7096.2,6655.8,6512.9,6685.2
6205,12663.2,11856.9,11884.6,11402.5,12491.2,9225.4,9577.4,10358.6,10533.9,10200,10246.9,9998.8
84546,12663.2,11856.9,11884.6,11402.5,12491.2,9225.4,9577.4,10358.6,10533.9,10200,10246.9,9998.8
6133,11554.7,10966.6,10628,10716.8,11734.3,8835.5,8979.8,10170,9500.2,9553.2,9632.5,9244.8
1655,9582.6,8980.8,9607.3,9231.2,10234,7099.8,7433.7,7717.9,7297.4,7218.5,7905.9,6934.6
100616387,9582.6,8980.8,9607.3,9231.2,10234,7099.8,7433.7,7717.9,7297.4,7218.5,7905.9,6934.6
100616408,9582.6,8980.8,9607.3,9231.2,10234,7099.8,7433.7,7717.9,7297.4,7218.5,7905.9,6934.6
6128,10416.5,9289.7,10136.7,9142.3,11157.7,7831,8182.7,8109.4,8179.6,8440,8318,8252.3
23399,316.5,345.5,333.3,318.5,398.1,197.9,282.1,275.1,250.2,261.4,259.6,241.5
4736,7579.9,7360.8,6887.6,6870.2,7555.5,5316.9,5992.7,6237.2,5758.7,5769.5,5527.3,5705.3
11335,7947.2,7948.2,7945.2,7474.5,8239.5,5823.2,6308.7,6845.3,4563.3,4702.7,4585,4395.9
6139,11579.2,11065,11368.9,10820.4,11988.2,8997.8,10005.2,10707,9795.3,9761,9678.8,9803.7
26790,11579.2,11065,11368.9,10820.4,11988.2,8997.8,10005.2,10707,9795.3,9761,9678.8,9803.7
26791,11579.2,11065,11368.9,10820.4,11988.2,8997.8,10005.2,10707,9795.3,9761,9678.8,9803.7
497661,11579.2,11065,11368.9,10820.4,11988.2,8997.8,10005.2,10707,9795.3,9761,9678.8,9803.7
100124516,11579.2,11065,11368.9,10820.4,11988.2,8997.8,10005.2,10707,9795.3,9761,9678.8,9803.7
100526842,11579.2,11065,11368.9,10820.4,11988.2,8997.8,10005.2,10707,9795.3,9761,9678.8,9803.7
5690,4705.1,4537.2,4417.3,4342.9,4868,3327.8,3530.9,4040.3,3881.9,3843.4,3733.9,3762
10657,4066.5,4229.7,3705,3639.4,4555.7,2692.7,2731.7,3375.3,2888.7,2983.6,2977.5,2743.1
7919,844.9,797.7,858.7,755.6,813.1,519.3,575.6,599.8,616.6,571.4,579.1,521
692199,844.9,797.7,858.7,755.6,813.1,519.3,575.6,599.8,616.6,571.4,579.1,521
100532737,844.9,797.7,858.7,755.6,813.1,519.3,575.6,599.8,616.6,571.4,579.1,521
51493,1008.2,1045.6,1038.1,1014.1,1268.2,794.5,908.2,928.4,887.6,851.5,813.2,867.9
2079,8377.1,7608.9,7163.6,7265.9,8012,5494.4,6049,6394.6,5833.9,5627.2,5626.4,5854.4
8683,4947.9,4772.1,4306.2,4220.7,5317,3168.6,3246,3877,3559.4,3304.8,3553.7,3287.3
283459,4947.9,4772.1,4306.2,4220.7,5317,3168.6,3246,3877,3559.4,3304.8,3553.7,3287.3
23,606.2,581.6,645.9,641.8,649.5,403.3,455.3,545.7,506.4,464.1,502.3,498
1603,2736,2694.7,2794.8,2671.2,3017.3,1793.9,2131.5,2373.2,2303.6,2163.7,2406.6,2381.1
7528,4712.1,4400.3,4078.5,4019.7,5211.3,3190.1,3105.4,3686.9,3379.8,3269,3338.2,2649.5
10899,4284.2,4366.4,4428.8,4382.1,4331.5,2731.7,3148.8,3416.7,3173.8,3111.1,3302.5,3195.9
11143,186.1,245.2,341.2,316.8,289.1,167.1,304.8,303.6,121.4,101.4,234.3,214.8
7705,2854.9,2875.1,3150.1,3100.2,3284.6,1988.2,2415,2548.5,2396.7,2229.8,2411.3,2056.6
9092,389,373.4,373.5,360.2,432.8,247.9,268.2,264,305.6,294,286.9,277.1
3608,3997.3,3945.4,3965.5,4100.3,4624,3064.1,3319.9,3382.5,3277.4,3101.2,3336.2,3271.3
9552,664.4,634.6,578.4,609.3,1010.3,575.2,702.9,629.8,587.4,652.5,557.3,589.2
8882,453.5,449.3,499.3,485.4,474.2,283.3,428.8,409.8,495.4,442.2,389.7,497.2
6881,1177.7,1086.7,1118.3,1004.8,1082.3,713.5,783.8,852.5,907.9,855.8,897.6,884.6
10438,1563.4,1489.3,1361.3,1339.2,1597.8,918.2,1057.1,1125.3,997.9,1045.6,1065.3,927
4841,5039.4,5183.4,4543.6,4432,5101.5,4045.8,4101.3,4555.6,3721,3416.2,3601.1,3650
23020,3802.9,3554.1,3321.2,3155.6,3557.9,2043,2177,2304.5,2432,2352.6,2384.7,2211.1
101929240,3802.9,3554.1,3321.2,3155.6,3557.9,2043,2177,2304.5,2432,2352.6,2384.7,2211.1
387,7951.5,7916.2,7074.6,7429,9848.1,7277.8,7274.8,7783.4,7142.2,7087,7021.4,6816
10921,1866.8,1759.1,1907.9,1846,2079.7,1322.9,1450.1,1563.2,1423.1,1545.2,1404.5,1444.5
6229,9476.2,9574.9,9154.9,9207.2,9684.5,7737.4,8189.5,8713.7,8578.8,8299.5,8064.6,8685.1
6156,11648.3,11608.7,10674.5,11504.5,12274.3,9525.7,9725,10918.7,10438.1,10327.5,10217.7,10135.2
4869,11359.1,10856.5,10727.3,10691.7,12107.1,9156.1,9788.2,10345.9,10160.9,9833.8,9525.4,9427.4
3326,8024.6,8568.9,8078.4,8157,8863.1,7349.8,7529.6,7947.4,7061.2,6864.8,6699.7,6797.5
375,2393.8,2631.3,2526.7,2438,3114.7,2187.4,2348.6,2280.1,1985.7,2019.8,2012.5,1976
100500810,2393.8,2631.3,2526.7,2438,3114.7,2187.4,2348.6,2280.1,1985.7,2019.8,2012.5,1976
3550,1030.2,1032.6,1023.8,1031.4,1029.7,681.7,736.1,741.6,788.9,794.6,831.5,801.3
8724,2591.2,2580.2,2427.1,2207.6,2934.7,1851,2116.7,2001.2,2184.9,1904.5,2072.4,1944
821,5811.3,5423.3,5608.4,5479.5,5826.3,3819.4,4058.4,4540,3836.8,4014.9,4123.5,3837.7
9733,559.5,643.6,668.5,648,622.8,391.7,445.2,560.8,456.1,425.3,448.9,397.3
27013,289.4,253.7,213.8,221.1,259.2,150,158.7,206.5,160.2,201.9,151.7,162.8
10285,3489.1,3311.1,3466.8,3512.9,3542.8,2207.3,2428,2142.9,2835.2,2668.9,3003.2,2653.2
4670,5898,6025.1,5748,5706.2,6608,4730.9,5144.8,5261.8,4559.3,4369.3,4276.2,4303.7
3184,4549.4,4864.8,5002.1,4756.7,5423.8,3641.2,3604.5,4038,3879.2,3622.4,3776.3,3367
9045,9074.2,8344.3,8540.7,8617.1,9295,7019.9,7578.1,7655.1,7997.9,7569.5,7447.8,7699.6
2987,1130.5,1102.4,987.9,978.5,1105.7,669.8,767.7,823.7,754.1,867.1,864,843.9
79036,497.9,586.4,590,537.3,546.6,419.2,448.7,496.2,394,416.5,441.5,428.7
4946,8548.1,8432.1,8388.5,7964.2,9025,6585.2,6791.7,7343.3,6892.9,6920,7002.5,6892.4
533,1097.4,1051.1,1294.7,1173.9,1130.2,751.3,1000.1,954.7,958.3,974.5,998,1109.5
3735,3912.8,3909.5,3954.4,4088.2,4455.7,2764.8,3262.4,3443.7,3115.1,3004.6,3430.8,3299.9
3020,11003.7,10045.1,10221.3,10138,10744.9,8228.3,8231.8,9278.6,9290.4,8482.8,8429,7736.5
3021,11003.7,10045.1,10221.3,10138,10744.9,8228.3,8231.8,9278.6,9290.4,8482.8,8429,7736.5
440926,11003.7,10045.1,10221.3,10138,10744.9,8228.3,8231.8,9278.6,9290.4,8482.8,8429,7736.5
6194,9837.9,10601.1,10156,10182.6,10480.3,9105.3,8802.5,9933.8,9661.5,9639.5,8839.7,9374.9
6201,10122.4,9931.6,10030.7,9785.8,10756.4,8619.7,8625.3,9393.4,8586.9,8772.7,8352.9,8704.4
23326,1832,1994,1915.3,1788.6,2024.2,1035.7,1259.5,1381.9,1199.1,1199.4,1287,1177.6
10944,3171.4,3054.4,3053.4,2861.5,3514.6,2088.2,2286.6,2569.2,2049.6,2103.8,2324.2,2058.9
6923,3463.3,3453.3,3224.8,3067.9,3425.3,2180,2429.1,2541.6,2391.5,2438.9,2331.1,2472.7
1327,5803.4,5427.7,5343.3,5143.2,5449.9,3558.9,3957,4150.9,4155.8,4299.3,4410.7,4533.4
10959,7448.3,7201.1,7225.8,6948.9,7838.1,5013.8,5459.3,5719.5,5434.6,5179.2,5348.8,4842.6
6136,12307,11993.7,11642.2,11647.4,12350.7,9925.5,10110.6,10872.8,11178.8,10803.6,10393.8,10530
65065,12307,11993.7,11642.2,11647.4,12350.7,9925.5,10110.6,10872.8,11178.8,10803.6,10393.8,10530
6124,11691.1,10722.9,10847.3,10259.1,12119.2,8611.6,8855,9815.6,9180.2,9115.7,9411.4,9104.5
595097,11691.1,10722.9,10847.3,10259.1,12119.2,8611.6,8855,9815.6,9180.2,9115.7,9411.4,9104.5
595098,11691.1,10722.9,10847.3,10259.1,12119.2,8611.6,8855,9815.6,9180.2,9115.7,9411.4,9104.5
595099,11691.1,10722.9,10847.3,10259.1,12119.2,8611.6,8855,9815.6,9180.2,9115.7,9411.4,9104.5
595100,11691.1,10722.9,10847.3,10259.1,12119.2,8611.6,8855,9815.6,9180.2,9115.7,9411.4,9104.5
2339,2351.2,2218.2,2739.8,2474.8,2258.3,1409,1847.6,1916.7,1726.5,1659.8,2275.6,2132.3
6230,9880.7,10008.4,8890.3,8515.7,10055.4,6393.7,7107.5,7877.4,7143.4,7262.6,7707.3,6914.5
6167,10562.9,10306.3,9816.7,9234.9,10505.6,7820.3,8184.7,8883.1,8098.7,8048,7622.4,8395.4
3094,4546.6,4477.6,4417,4308.5,4975.8,3080.7,3456.4,3474.1,3324.3,3256,3750.1,3639
1938,4921,4734.6,3964.1,4126.1,4956.4,3437,3308.4,3551.6,3617.9,3228.7,3402.1,3254.6
